age,brand,kmdriven,fuelType,bodyType,seatCap,transmission,owners,price
5.0,3.0,55000.0,1.0,0.0,5.0,0.0,6.0,500000.0
5.0,2.0,50000.0,1.0,2.0,5.0,0.0,5.0,600000.0
7.0,13.0,81450.0,1.0,0.0,5.0,3.0,6.0,550000.0
4.0,20.0,27000.0,2.0,5.0,7.0,0.0,3.0,1425000.0
14.0,9.0,72000.0,2.0,2.0,5.0,0.0,5.0,300000.0
12.0,3.0,195000.0,2.0,2.0,5.0,0.0,6.0,300000.0
3.0,4.0,30000.0,1.0,8.0,7.0,0.0,5.0,800000.0
12.0,3.0,14089.0,2.0,5.0,7.0,0.0,6.0,200000.0
2.0,2.0,38456.0,1.0,0.0,5.0,0.0,5.0,400000.0
8.0,18.0,74340.0,2.0,5.0,7.0,7.0,3.0,2490000.0
7.0,2.0,73000.0,1.0,0.0,5.0,7.0,8.0,500000.0
7.0,3.0,84243.0,1.0,0.0,5.0,2.0,3.0,450000.0
4.0,8.0,44562.0,2.0,5.0,6.0,4.0,3.0,1725000.0
13.0,16.0,101000.0,2.0,5.0,5.0,0.0,8.0,460000.0
7.0,8.0,80000.0,1.0,5.0,5.0,7.0,5.0,1095000.0
3.0,7.0,65000.0,1.0,4.0,5.0,2.0,6.0,1000000.0
15.0,7.0,150000.0,2.0,2.0,5.0,0.0,11.0,120000.0
4.0,7.0,90000.0,1.0,5.0,5.0,0.0,5.0,625000.0
4.0,7.0,70000.0,2.0,5.0,6.0,4.0,3.0,1800000.0
6.0,3.0,71000.0,1.0,0.0,5.0,0.0,3.0,325586.0
3.0,8.0,50000.0,2.0,4.0,5.0,0.0,3.0,850000.0
9.0,3.0,36267.0,1.0,0.0,5.0,0.0,6.0,275000.0
4.0,26.0,57423.0,1.0,5.0,5.0,4.0,3.0,2950000.0
8.0,8.0,120000.0,2.0,0.0,5.0,0.0,5.0,520000.0
17.0,3.0,434800.0,2.0,2.0,5.0,0.0,15.0,200000.0
9.0,12.0,52000.0,1.0,9.0,0.0,0.0,1.0,3500000.0
2.0,8.0,20000.0,2.0,5.0,5.0,0.0,5.0,1300000.0
2.0,33.0,30000.0,1.0,5.0,5.0,7.0,5.0,3990000.0
4.0,17.0,17599.0,1.0,5.0,5.0,4.0,3.0,1215000.0
5.0,2.0,95000.0,1.0,0.0,5.0,0.0,5.0,360000.0
